id,call_uuid,call_session_id,parent_call_uuid,caller_id_number,caller_id_name,destination_number,destination_name,direction,is_billing_leg,context,domain_name,call_created_at,call_ringing_at,call_answered_at,call_bridged_at,call_ended_at,ring_duration,talk_duration,total_duration,billable_duration,call_status,hangup_cause,hangup_disposition,answer_disposition,caller_ip_address,callee_ip_address,sip_user_agent,codec_used,gateway_used,route_used,trunk_used,audio_quality_score,packet_loss_percent,jitter_ms,latency_ms,billing_account,recording_enabled,recording_file_path,transfer_occurred,conference_used,voicemail_used,custom_field_1,custom_field_2,custom_field_3,created_at,updated_at,processed_at
d198131a-0f63-4af2-a79f-16389d7f995a,bf25c690-0ec8-4f3f-875f-abf69769b873,,,1001,,1002,,internal,f,default,localhost,2025-07-13 12:08:51.455+00,,2025-07-13 12:08:53.013+00,,2025-07-13 12:09:17.733+00,1,24,26,24,completed,NORMAL_CLEARING,,answered,185.199.108.133,,Z 5.6.9 v2.10.20.8,,,,,5.00,,20.03,20.02,,t,20250713-120851_1001_1002.wav,f,f,f,,,,2025-07-13 12:08:51.461169+00,2025-07-13 12:09:17.748391+00,2025-07-13 12:09:17.745+00
ef4e2da6-109f-4e00-82cf-c563cdd4b521,a80f6036-b339-4fa1-ac14-2d107b810b58,,,1001,,1002,,internal,t,default,,2025-07-13 05:14:30.35+00,,2025-07-13 05:14:33.469+00,,2025-07-13 05:14:53.051+00,3,19,22,19,completed,NORMAL_CLEARING,,answered,185.199.108.133,,,,,,,4.48,,32.00,20.48,,f,,f,f,f,,,,2025-07-13 05:14:30.386108+00,2025-07-13 05:14:53.0873+00,2025-07-13 05:14:53.084+00
9934aca7-5cf5-45fe-8d0e-8f6e4f2dacac,f259483b-9f6e-4e55-bfd9-92d77ca5c230,,,1001,,1002,,internal,f,default,localhost,2025-07-13 05:14:30.294+00,,2025-07-13 05:14:33.494+00,,2025-07-13 05:14:53.07+00,3,19,22,19,completed,NORMAL_CLEARING,,answered,185.199.108.133,,Z 5.6.9 v2.10.20.8,,,,,5.00,,8.00,20.01,,f,,f,f,f,,,,2025-07-13 05:14:30.356009+00,2025-07-13 05:14:53.105516+00,2025-07-13 05:14:53.103+00
ee0fdb31-a1e2-43c2-baac-95e6ca4d0e76,94e37cbb-0796-4399-9dae-5c1dfc15bfa9,,,1001,,1002,,internal,t,default,,2025-07-13 05:25:06.093+00,,2025-07-13 05:25:10.492+00,,2025-07-13 05:25:16.71+00,4,6,10,6,completed,NORMAL_CLEARING,,answered,185.199.108.133,,,,,,,4.36,,0.20,20.43,,f,,f,f,f,,,,2025-07-13 05:25:06.159296+00,2025-07-13 05:25:16.732089+00,2025-07-13 05:25:16.726+00
37477546-f745-404d-8846-9be6cba6c386,2289a269-3b01-4040-9a12-bd75b80e97e6,,,1001,,1002,,internal,f,default,localhost,2025-07-13 05:25:06.093+00,,2025-07-13 05:25:10.492+00,,2025-07-13 05:25:16.71+00,4,6,10,6,completed,NORMAL_CLEARING,,answered,185.199.108.133,,Z 5.6.9 v2.10.20.8,,,,,4.92,,0.42,20.01,,f,,f,f,f,,,,2025-07-13 05:25:06.120632+00,2025-07-13 05:25:16.732516+00,2025-07-13 05:25:16.729+00
b8e8dd7b-2d26-4d67-8233-a169f45921d5,d4a2f14f-0a2d-441b-990d-27285b06fdab,,,1001,,1002,,internal,t,default,,2025-07-13 05:49:52.272+00,,,,2025-07-13 05:50:22.053+00,0,0,29,0,completed,NO_ANSWER,,,185.199.108.133,,,,,,,,,,,,f,,f,f,f,,,,2025-07-13 05:49:52.317201+00,2025-07-13 05:50:22.105398+00,2025-07-13 05:50:22.101+00
4008aed6-3217-4ea3-a7bc-707cdfed67f5,086815a3-4ed6-461d-82d2-226a6507426c,,,1001,,voicemail,,outbound,f,default,,2025-07-13 05:50:23.072+00,,,,2025-07-13 05:50:23.452+00,0,0,0,0,completed,NORMAL_CLEARING,,,185.199.108.133,,,,,,,,,,,,f,,f,f,f,,,,2025-07-13 05:50:23.098038+00,2025-07-13 05:50:23.481065+00,2025-07-13 05:50:23.477+00
aebad4c4-d30a-44ed-9624-ef8fa2803087,d945fdcc-5ddb-46aa-8662-25c5f48f31db,,,1001,,1002,,internal,f,default,localhost,2025-07-13 05:49:52.252+00,,2025-07-13 05:50:22.072+00,,2025-07-13 05:50:23.476+00,29,1,31,1,completed,NORMAL_CLEARING,,answered,185.199.108.133,,Z 5.6.9 v2.10.20.8,,,,,5.00,,107.85,21.03,,f,,f,f,f,,,,2025-07-13 05:49:52.276836+00,2025-07-13 05:50:23.510455+00,2025-07-13 05:50:23.505+00
23c12445-e82c-4a78-82e4-cefb2102d61b,6ae7cacb-dbe9-47a5-a4f7-ea3c89c63569,,,1001,,voicemail,,outbound,f,default,,2025-07-13 05:50:23.072+00,,,,2025-07-13 05:50:23.476+00,0,0,0,0,completed,NORMAL_CLEARING,,,185.199.108.133,,,,,,,,,,,,f,,f,f,f,,,,2025-07-13 05:50:23.097934+00,2025-07-13 05:50:23.511375+00,2025-07-13 05:50:23.507+00
71faa6af-c43d-423a-9959-fb7e3ce47db6,85254a8e-720c-4ee7-8ddb-38d2e8da6a23,,,1001,,1002,,internal,t,default,,2025-07-13 05:51:12.993+00,,2025-07-13 05:51:17.256+00,,2025-07-13 05:51:27.095+00,4,9,14,9,completed,NORMAL_CLEARING,,answered,185.199.108.133,,,,,,,4.88,,4.50,20.25,,f,,f,f,f,,,,2025-07-13 05:51:13.034563+00,2025-07-13 05:51:27.138744+00,2025-07-13 05:51:27.134+00
