id,name,resource,action,description,is_active,created_at,updated_at,category,is_system,conditions,constraints
perm-system-manage,system:manage,system,manage,Full system management,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,system,t,,
perm-system-read,system:read,system,read,Read system information,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,system,t,,
perm-domain-manage,domain:manage,domain,manage,Full domain management,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,domain,t,,
perm-domain-read,domain:read,domain,read,Read domain information,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,domain,f,,
perm-domain-create,domain:create,domain,create,Create new domains,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,domain,t,,
perm-domain-update,domain:update,domain,update,Update domain settings,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,domain,f,,
perm-domain-delete,domain:delete,domain,delete,Delete domains,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,domain,t,,
perm-users-manage,users:manage,users,manage,Full user management,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,users,f,,
perm-users-read,users:read,users,read,Read user information,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,users,f,,
perm-users-create,users:create,users,create,Create new users,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,users,f,,
perm-users-update,users:update,users,update,Update user information,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,users,f,,
perm-users-delete,users:delete,users,delete,Delete users,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,users,f,,
perm-calls-manage,calls:manage,calls,manage,Full call management,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,calls,f,,
perm-calls-read,calls:read,calls,read,View call information,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,calls,f,,
perm-calls-execute,calls:execute,calls,execute,Make and control calls,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,calls,f,,
perm-extensions-manage,extensions:manage,extensions,manage,Full extension management,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,extensions,f,,
perm-extensions-read,extensions:read,extensions,read,View extension information,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,extensions,f,,
perm-extensions-create,extensions:create,extensions,create,Create new extensions,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,extensions,f,,
perm-extensions-update,extensions:update,extensions,update,Update extension settings,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,extensions,f,,
perm-extensions-delete,extensions:delete,extensions,delete,Delete extensions,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,extensions,f,,
perm-cdr-manage,cdr:manage,cdr,manage,Full CDR management,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,cdr,f,,
perm-cdr-read,cdr:read,cdr,read,View call detail records,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,cdr,f,,
perm-cdr-delete,cdr:delete,cdr,delete,Delete call records,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,cdr,f,,
perm-recordings-manage,recordings:manage,recordings,manage,Full recording management,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,recordings,f,,
perm-recordings-read,recordings:read,recordings,read,Listen to recordings,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,recordings,f,,
perm-recordings-create,recordings:create,recordings,create,Create recordings,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,recordings,f,,
perm-recordings-delete,recordings:delete,recordings,delete,Delete recordings,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,recordings,f,,
perm-config-manage,config:manage,config,manage,Full configuration management,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,config,f,,
perm-config-read,config:read,config,read,View configuration,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,config,f,,
perm-config-update,config:update,config,update,Update configuration,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,config,f,,
perm-reports-read,reports:read,reports,read,View reports,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,reports,f,,
perm-reports-create,reports:create,reports,create,Generate reports,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,reports,f,,
perm-security-manage,security:manage,security,manage,Full security management,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,security,t,,
perm-security-read,security:read,security,read,View security information,t,2025-07-13 21:36:58.932997+00,2025-07-13 21:36:58.932997+00,security,f,,
